,Condition,RelCover,FuncEven,FishAb,CoralJuv,CoTSOutBr,Rubble
Expert 1,VeryGood,0.45,0.35,0.35,0.35,0.95,0.85
Expert 2,VeryGood,0.45,0.35,0.3,0.25,0.95,0.95
Expert 3,VeryGood,0.55,0.60,0.60,0.35,0.95,0.85
Expert 4,VeryGood,0.35,0.45,0.45,0.35,0.85,0.85
Expert 5,VeryGood,0.45,0.45,0.575,0.55,0.95,0.85
Expert 7,VeryGood,0.45,0.6,0.6,0.55,0.95,0.85
Expert 8,VeryGood,0.45,0.6,0.55,0.45,0.95,0.85
Expert 1,Good,0.35,0.25,0.3,0.25,0.85,0.85
Expert 2,Good,0.25,0.25,0.2,0.15,0.85,0.85
Expert 3,Good,0.35,0.45,0.45,0.25,0.95,0.85
Expert 4,Good,0.25,0.35,0.35,0.25,0.75,0.75
Expert 5,Good,0.35,0.45,0.55,0.55,0.85,0.75
Expert 7,Good,0.35,0.45,0.45,0.35,0.85,0.75
Expert 8,Good,0.25,0.45,0.45,0.45,0.85,0.75
Expert 1,Fair,0.25,0.25,0.25,0.25,0.65,0.85
Expert 2,Fair,0.15,0.15,0.1,0.05,0.75,0.75
Expert 3,Fair,0.25,0.35,0.45,0.25,0.95,0.85
Expert 4,Fair,0.15,0.35,0.35,0.25,0.75,0.75
Expert 5,Fair,0.25,0.45,0.55,0.55,0.85,0.75
Expert 7,Fair,0.25,0.25,0.3,0.25,0.85,0.75
Expert 8,Fair,0.15,0.45,0.3,0.25,0.85,0.75
Expert 1,Poor,0.15,0.15,0.15,0.15,0.55,0.75
Expert 2,Poor,0.15,0.15,0.1,0.05,0.75,0.75
Expert 3,Poor,0.25,0.35,0.45,0.25,0.95,0.85
Expert 4,Poor,0.15,0.35,0.35,0.25,0.75,0.75
Expert 5,Poor,0.25,0.45,0.55,0.45,0.85,0.75
Expert 7,Poor,0.25,0.25,0.3,0.25,0.85,0.75
Expert 8,Poor,0.1,0.05,0.3,0.25,0.5,0.75
Expert 1,VeryPoor,0.15,0.15,0.15,0.15,0.45,0.75
Expert 2,VeryPoor,0.05,0.05,0.05,0.05,0.65,0.65
Expert 3,VeryPoor,0.05,0.35,0.45,0.25,0.95,0.85
Expert 4,VeryPoor,0.05,0.35,0.35,0.25,0.75,0.75
Expert 5,VeryPoor,0.05,0.45,0.55,0.45,0.85,0.75
Expert 7,VeryPoor,0.05,0.15,0.175,0.15,0.7,0.65
Expert 8,VeryPoor,0.05,0.05,0.3,0.25,0.3,0.75